상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,행정동코드,행정동명,도로명주소,lon,lat
L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,3611035000,장군면,"세종특별자치시 장군면 풍경채길 26-6, (금암리)",127.2180801,36.43994932
D,소매,D05,의복의류,D05A09,남성의류전문점,,,3611025000,조치원읍,"세종특별자치시 조치원읍 새내10길 29, (원리)",127.2998648,36.6006396
Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,3611037000,전의면,"세종특별자치시 전의면 운주산로 1212, (읍내리)",127.2024216,36.67998137
Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611034000,금남면,"세종특별자치시 금남면 용포중앙1길 11-1, (용포리)",127.2827149,36.46566164
Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,3611032000,연동면,"세종특별자치시 연동면 예양길 2, (예양리)",127.3231407,36.57316999
Q,음식,Q07,패스트푸드,Q07A10,토스트전문,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",3611025000,조치원읍,"세종특별자치시 조치원읍 세종로 2511, (서창리)",127.2910008,36.61169005
Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,3611025000,조치원읍,"세종특별자치시 조치원읍 조치원6길 41, (정리)",127.2998628,36.59963024
Q,음식,Q02,중식,Q02A00,중국음식/중국집,I56112,중식 음식점업,3611038000,전동면,"세종특별자치시 전동면 운주산로 392, (노장리)",127.2635513,36.6557815
Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,3611025000,조치원읍,"세종특별자치시 조치원읍 조치원로 54, (상리)",127.3026257,36.60186341
Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,3611025000,조치원읍,"세종특별자치시 조치원읍 장안로 18-5, (정리)",127.301145,36.59997121
D,소매,D03,종합소매점,D03B10,할인점,G47119,기타 대형 종합 소매업,3611025000,조치원읍,"세종특별자치시 조치원읍 허만석로 60, (번암리)",127.2977252,36.58636991
L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,3611051000,한솔동,"세종특별자치시 노을1로 16, 202동  (한솔동, 첫마을퍼스트프라임2단지)",127.2606235,36.48084763
L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,3611051000,한솔동,"세종특별자치시 노을3로 14, (한솔동, 첫마을퍼스트프라임1단지)",127.2571609,36.48234018
L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,3611051000,한솔동,"세종특별자치시 노을3로 14, (한솔동, 첫마을퍼스트프라임1단지)",127.2571609,36.48234018
Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,기타 주점업,3611025000,조치원읍,"세종특별자치시 조치원읍 섭골길 74, (신안리)",127.2870962,36.61690276
Q,음식,Q10,별식/퓨전요리,Q10A05,순대전문점,I56111,한식 음식점업,3611034000,금남면,"세종특별자치시 금남면 용포2길 72, (용포리)",127.2800689,36.46341968
L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,3611051000,한솔동,"세종특별자치시 노을1로 16, 202동  (한솔동, 첫마을퍼스트프라임2단지)",127.2606235,36.48084763
D,소매,D18,사진/광학/정밀기기소매,D18A02,핸드폰소매,G47312,통신기기 소매업,3611051000,한솔동,"세종특별자치시 노을1로 16, 202동  (한솔동, 첫마을퍼스트프라임2단지)",127.2606235,36.48084763
F,생활서비스,F07,물품기기대여,F07A03,비디오/오디오테이프대여,L69220,음반 및 비디오물 임대업,3611034000,금남면,"세종특별자치시 금남면 용포2길 70, (용포리, 두진리버빌)",127.2797133,36.46326433
D,소매,D25,기타판매업,D25A17,농자재판매,G47859,그외 기타 분류안된 상품 전문 소매업,3611032000,연동면,"세종특별자치시 연동면 청연로 380, (응암리)",127.3363022,36.5418817
L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,3611025000,조치원읍,"세종특별자치시 조치원읍 충현로 159, (침산리, 욱일2차)",127.2941772,36.60292216
D,소매,D02,선물/팬시/기념품,D02A02,꽃집/꽃배달,G47851,화초 및 산식물 소매업,3611037000,전의면,"세종특별자치시 전의면 운주산로 1204-3, (읍내리)",127.203106,36.67980572
F,생활서비스,F14,자동차/이륜차,F14A01,자동차정비/카센타,,,3611025000,조치원읍,"세종특별자치시 조치원읍 충현로 16, (죽림리)",127.2994412,36.5906247
D,소매,D25,기타판매업,D25A12,LPG판매,G47723,가정용 가스연료 소매업,3611025000,조치원읍,"세종특별자치시 조치원읍 봉신길 71-31, (신안리)",127.2780356,36.61507283
F,생활서비스,F12,광고/인쇄,F12A03,광고물제작,C33910,간판 및 광고물 제조업,3611025000,조치원읍,"세종특별자치시 조치원읍 세종로 2639, (신안리)",127.2880984,36.61976556
R,학문/교육,R07,학원-예능취미체육,R07A20,태권도장,P85611,스포츠 교육기관,3611025000,조치원읍,"세종특별자치시 조치원읍 세종로 2342, (신흥리)",127.2912205,36.59623568
R,학문/교육,R13,학문교육기타,R13A01,학습지보급,P85503,방문 교육 학원,3611025000,조치원읍,"세종특별자치시 조치원읍 대첩로 17, (신흥리)",127.2941905,36.59532506
D,소매,D24,중고품소매/교환,D24A02,재활용/고물수집,G47869,기타 중고상품 소매업,3611031000,연기면,"세종특별자치시 연기면 수왕로 426, (수산리)",127.2326505,36.54257558
D,소매,D01,음/식료품소매,D01A10,어물상,G47213,수산물 소매업,3611025000,조치원읍,"세종특별자치시 조치원읍 조치원8길 34-7, (정리)",127.3003408,36.59991242
F,생활서비스,F11,개인서비스,F11A02,운명감정작명,S96992,점술 및 유사 서비스업,3611038000,전동면,"세종특별자치시 전동면 심동로 393-100, (심중리)",127.3003245,36.68085819
L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,3611025000,조치원읍,"세종특별자치시 조치원읍 행복4길 39, (침산리)",127.2940818,36.60481412
R,학문/교육,R08,유아교육,R08A02,어린이집,Q87210,보육시설 운영업,3611032000,연동면,"세종특별자치시 연동면 연지길 24, (내판리)",127.3288794,36.55687244
L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,3611034000,금남면,"세종특별자치시 금남면 용포로 102, (용포리)",127.2820163,36.46760409
F,생활서비스,F14,자동차/이륜차,F14A01,자동차정비/카센타,,,3611025000,조치원읍,"세종특별자치시 조치원읍 새내로 197-4, (서창리)",127.2963169,36.60977496
F,생활서비스,F15,주택수리,F15A04,유리창호,F42420,유리 및 창호 공사업,3611036000,연서면,"세종특별자치시 연서면 도원로 155, (쌍전리)",127.2807481,36.57938345
D,소매,D24,중고품소매/교환,D24A02,재활용/고물수집,G47869,기타 중고상품 소매업,3611034000,금남면,"세종특별자치시 금남면 용포로 120-18, (신촌리)",127.2817237,36.46908935
D,소매,D03,종합소매점,D03B06,구판장/직판장,G47129,기타 음·식료품 위주 종합 소매업,3611036000,연서면,"세종특별자치시 연서면 국촌1길 16-1, (국촌리)",127.2719001,36.57204796
F,생활서비스,F14,자동차/이륜차,F14A01,자동차정비/카센타,,,3611037000,전의면,"세종특별자치시 전의면 운주산로 1144, (동교리)",127.2093196,36.67831511
D,소매,D01,음/식료품소매,D01A04,닭집,G47212,육류 소매업,3611036000,연서면,"세종특별자치시 연서면 당산로 359-1, (봉암리)",127.2829937,36.5637069
L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,3611036000,연서면,"세종특별자치시 연서면 당산로 342-1, (봉암리)",127.282472,36.56213566
F,생활서비스,F03,개인/가정용품수리,F03A02,가전제품수리,S95310,가전제품 수리업,3611036000,연서면,"세종특별자치시 연서면 아홉거리길 100, (월하리)",127.2841208,36.59410245
D,소매,D04,취미/오락관련소매,D04A13,수족관,G47852,애완용 동물 및 관련용품 소매업,3611025000,조치원읍,"세종특별자치시 조치원읍 새내14길 19, (교리)",127.298823,36.60337315
D,소매,D24,중고품소매/교환,D24A02,재활용/고물수집,G47869,기타 중고상품 소매업,3611037000,전의면,"세종특별자치시 전의면 의당전의로 382-4, (달전리)",127.1744824,36.63089235
D,소매,D03,종합소매점,D03A02,수퍼마켓,G47121,슈퍼마켓,3611025000,조치원읍,"세종특별자치시 조치원읍 침천길 29, (침산리, 용성빌라)",127.2959311,36.59811107
D,소매,D21,철물/난방/건설자재소매,D21A06,철물/건설자재소매,G47511,철물 및 난방용구 소매업,3611025000,조치원읍,"세종특별자치시 조치원읍 장안로 15, (명리)",127.3014556,36.60023438
D,소매,D02,선물/팬시/기념품,D02A02,꽃집/꽃배달,G47851,화초 및 산식물 소매업,3611025000,조치원읍,"세종특별자치시 조치원읍 충현로 230-2, (서창리)",127.2939168,36.60941831
D,소매,D21,철물/난방/건설자재소매,D21A03,목제품판매,G47519,"페인트, 유리 및 기타 건설자재 소매업",3611025000,조치원읍,"세종특별자치시 조치원읍 으뜸길 110, (남리)",127.2977903,36.59645481
D,소매,D21,철물/난방/건설자재소매,D21A02,보일러/냉난방용품,G47511,철물 및 난방용구 소매업,3611025000,조치원읍,"세종특별자치시 조치원읍 허만석로 61, (번암리)",127.29697,36.58707741
D,소매,D08,사무/문구/컴퓨터,D08A03,컴퓨터/사무용기기종합,G47311,"컴퓨터 및 주변장치, 소프트웨어 소매업",3611025000,조치원읍,"세종특별자치시 조치원읍 죽림로 60, (죽림리)",127.2981322,36.59201387
F,생활서비스,F14,자동차/이륜차,F14A01,자동차정비/카센타,,,3611025000,조치원읍,"세종특별자치시 조치원읍 안터길 8, (신안리)",127.2895858,36.62580349
D,소매,D03,종합소매점,D03A03,잡화점,G47190,그외 기타 종합 소매업,3611037000,전의면,"세종특별자치시 전의면 운주산로 1220, (읍내리)",127.2015398,36.67978622
F,생활서비스,F15,주택수리,F15A01,주택수리종합,S95399,그외 기타 개인 및 가정용품 수리업,3611037000,전의면,"세종특별자치시 전의면 상대부길 46, (관정리)",127.2086868,36.71278132
D,소매,D23,자동차/자동차용품,D23A11,자동차유리전문점,G45219,기타 자동차신품 부품 및 내장품 판매업,3611025000,조치원읍,"세종특별자치시 조치원읍 번암안동네길 6, (번암리)",127.2924226,36.58331049
D,소매,D12,가전제품소매,D12A01,일반가전제품,G47320,가전제품 소매업,3611025000,조치원읍,"세종특별자치시 조치원읍 새내10길 50, (정리)",127.3009613,36.60051086
F,생활서비스,F18,장례/묘지,F18A01,장의사/관련서비스-종합,S96921,장례식장 및 장의관련 서비스업,3611037000,전의면,"세종특별자치시 전의면 사시리길 16, (신흥리)",127.1924639,36.66927122
D,소매,D03,종합소매점,D03A02,수퍼마켓,G47121,슈퍼마켓,3611025000,조치원읍,"세종특별자치시 조치원읍 허만석로 57-1, (번암리)",127.2967708,36.58686896
D,소매,D03,종합소매점,D03A02,수퍼마켓,G47121,슈퍼마켓,3611036000,연서면,"세종특별자치시 연서면 당산로 359, (봉암리)",127.2829499,36.56361652
F,생활서비스,F01,이/미용/건강,F01A03,비만/피부관리,,,3611025000,조치원읍,"세종특별자치시 조치원읍 충현로 159, (침산리, 욱일2차)",127.2941772,36.60292216
F,생활서비스,F13,기타서비스업,F13A12,사업중개업,M73903,사업 및 무형 재산권 중개업,3611037000,전의면,"세종특별자치시 전의면 영성들길 32-8, (영당리)",127.1902481,36.65866718
F,생활서비스,F05,인력/고용/용역알선,F05A02,인력공급/고용알선,,,3611025000,조치원읍,"세종특별자치시 조치원읍 보람길 5, (원리)",127.2967017,36.600639
D,소매,D21,철물/난방/건설자재소매,D21A02,보일러/냉난방용품,G47511,철물 및 난방용구 소매업,3611037000,전의면,"세종특별자치시 전의면 읍내길 25, (읍내리)",127.2039171,36.68143328
F,생활서비스,F14,자동차/이륜차,F14A03,오토바이판매/수리,,,3611025000,조치원읍,"세종특별자치시 조치원읍 죽림본로 3, (죽림리)",127.2984154,36.59160098
D,소매,D02,선물/팬시/기념품,D02A02,꽃집/꽃배달,G47851,화초 및 산식물 소매업,3611025000,조치원읍,"세종특별자치시 조치원읍 새내6길 38, (남리)",127.3007565,36.59843688
D,소매,D21,철물/난방/건설자재소매,D21A02,보일러/냉난방용품,G47511,철물 및 난방용구 소매업,3611025000,조치원읍,"세종특별자치시 조치원읍 조치원8길 38, (정리)",127.30062,36.59994109
D,소매,D03,종합소매점,D03A02,수퍼마켓,G47121,슈퍼마켓,3611025000,조치원읍,"세종특별자치시 조치원읍 산막2길 7, (죽림리, 신동아)",127.2968029,36.59318662
L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,3611025000,조치원읍,"세종특별자치시 조치원읍 장안길 19, (정리)",127.3003659,36.59961517
D,소매,D01,음/식료품소매,D01A04,닭집,G47212,육류 소매업,3611025000,조치원읍,"세종특별자치시 조치원읍 운주산로 60, (신안리, 조형)",127.2892701,36.63583198
F,생활서비스,F15,주택수리,F15A03,배관난방보일러,F42201,배관 및 냉·난방 공사업,3611037000,전의면,"세종특별자치시 전의면 운주산로 1174, (동교리)",127.2063975,36.6796024
D,소매,D01,음/식료품소매,D01A15,곡물소매,G47211,곡물 소매업,3611025000,조치원읍,"세종특별자치시 조치원읍 충현로 159, (침산리, 욱일2차)",127.2941772,36.60292216
D,소매,D23,자동차/자동차용품,D23A06,자동차부품판매,G45219,기타 자동차신품 부품 및 내장품 판매업,3611025000,조치원읍,"세종특별자치시 조치원읍 새내로 197-7, (서창리)",127.2961312,36.60930524
D,소매,D01,음/식료품소매,D01A13,청과물소매,G47214,과실 및 채소 소매업,3611025000,조치원읍,"세종특별자치시 조치원읍 으뜸길 183, (원리)",127.2969443,36.59977528
F,생활서비스,F12,광고/인쇄,F12A01,인쇄종합,C18119,기타 인쇄업,3611025000,조치원읍,"세종특별자치시 조치원읍 새내8길 83, (명리)",127.3030679,36.59991939
F,생활서비스,F05,인력/고용/용역알선,F05A02,인력공급/고용알선,,,3611025000,조치원읍,"세종특별자치시 조치원읍 새내7길 10, (정리)",127.2978874,36.5993032
F,생활서비스,F14,자동차/이륜차,F14A01,자동차정비/카센타,,,3611025000,조치원읍,"세종특별자치시 조치원읍 세종로 2685-21, (신안리)",127.2885654,36.62734747
D,소매,D13,책/서적/도서,D13A06,잡지/신문소매,G47611,서적 및 잡지류 소매업,3611025000,조치원읍,"세종특별자치시 조치원읍 충현로 58-16, (죽림리)",127.2978378,36.59490501
L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,3611025000,조치원읍,"세종특별자치시 조치원읍 충현로 58-20, (죽림리)",127.2977807,36.59504887
D,소매,D21,철물/난방/건설자재소매,D21A06,철물/건설자재소매,G47511,철물 및 난방용구 소매업,3611025000,조치원읍,세종특별자치시 세종특별자치시 조치원읍 군청로 16-2,127.2950197,36.58648912
F,생활서비스,F01,이/미용/건강,F01A04,남성미용실,S96111,이용업,3611025000,조치원읍,"세종특별자치시 조치원읍 장안로 20, (정리)",127.3012566,36.59998989
Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,3611037000,전의면,"세종특별자치시 전의면 운주산로 1510, (유천리)",127.1853258,36.69694314
Q,음식,Q02,중식,Q02A00,중국음식/중국집,I56112,중식 음식점업,3611025000,조치원읍,"세종특별자치시 조치원읍 충현로 159, (침산리, 욱일2차)",127.2941772,36.60292216
Q,음식,Q01,한식,Q01A02,갈비/삼겹살,I56111,한식 음식점업,3611025000,조치원읍,"세종특별자치시 조치원읍 행복10길 3, (침산리)",127.2912099,36.60350835
Q,음식,Q04,분식,Q04A02,국수/만두/칼국수,I56194,분식 및 김밥 전문점,3611051000,한솔동,"세종특별자치시 노을3로 25, (한솔동)",127.259329,36.48084862
Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,3611037000,전의면,"세종특별자치시 전의면 운주산로 1510, (유천리)",127.1853258,36.69694314
F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,3611037000,전의면,"세종특별자치시 전의면 동신길 3, (동교리, 재동아파트)",127.2069545,36.67983141
Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,3611051500,새롬동,"세종특별자치시 한누리대로 157, (나성동)",127.2624794,36.47931803
Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,3611037000,전의면,"세종특별자치시 전의면 운주산로 1510, (유천리)",127.1853258,36.69694314
Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,3611035000,장군면,"세종특별자치시 장군면 장기초교길 62, (도계리)",127.2109741,36.49399389
Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611025000,조치원읍,"세종특별자치시 조치원읍 새내2길 21-2, (남리)",127.3003566,36.59692952
Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,기타 주점업,3611025000,조치원읍,"세종특별자치시 조치원읍 행복4길 29, (침산리)",127.2930208,36.60471771
Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,3611025000,조치원읍,"세종특별자치시 조치원읍 조치원5길 21, (원리)",127.2990787,36.60228419
Q,음식,Q04,분식,Q04A03,떡볶이전문,I56194,분식 및 김밥 전문점,3611025000,조치원읍,"세종특별자치시 조치원읍 허만석로 60-1, (번암리)",127.2981245,36.58669669
N,관광/여가/오락,N01,PC/오락/당구/볼링등,N01A08,전자오락실,R91221,전자 게임장 운영업,3611025000,조치원읍,"세종특별자치시 조치원읍 으뜸길 232, (원리)",127.2968695,36.60185662
D,소매,D01,음/식료품소매,D01A07,반찬가게,G47219,기타 식료품 소매업,3611025000,조치원읍,"세종특별자치시 조치원읍 조치원로 26, (원리)",127.2995681,36.60131376
Q,음식,Q01,한식,Q01A13,파전전문,I56111,한식 음식점업,3611025000,조치원읍,"세종특별자치시 조치원읍 행복4길 25, (침산리)",127.2925853,36.60467007
F,생활서비스,F06,사진,F06A01,사진관,M73301,인물사진 및 행사용비디오 촬영업,3611025000,조치원읍,"세종특별자치시 조치원읍 조치원1길 6, (원리)",127.2975106,36.60141881
F,생활서비스,F13,기타서비스업,F13A11,패션디자인,M73209,기타 전문 디자인업,3611025000,조치원읍,"세종특별자치시 조치원읍 세종로 2639, (신안리)",127.2880984,36.61976556
D,소매,D18,사진/광학/정밀기기소매,D18A02,핸드폰소매,G47312,통신기기 소매업,3611025000,조치원읍,"세종특별자치시 조치원읍 조치원4길 5, (원리)",127.2987875,36.60111992
Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,3611025000,조치원읍,"세종특별자치시 조치원읍 으뜸길 208, (원리)",127.297058,36.60079431
Q,음식,Q09,유흥주점,Q09A10,룸살롱/단란주점,I56211,일반유흥 주점업,3611025000,조치원읍,"세종특별자치시 조치원읍 조치원5길 12-17, (원리)",127.3000637,36.60213677
Q,음식,Q01,한식,Q01A04,한정식전문,I56111,한식 음식점업,3611033000,부강면,"세종특별자치시 부강면 부촌길 51, (부강리)",127.3662038,36.5305538
D,소매,D03,종합소매점,D03A02,수퍼마켓,G47121,슈퍼마켓,3611051000,한솔동,"세종특별자치시 노을3로 25, (한솔동)",127.259329,36.48084862
Q,음식,Q01,한식,Q01A10,쌈밥전문,I56111,한식 음식점업,3611025000,조치원읍,"세종특별자치시 조치원읍 행복8길 7, (침산리)",127.2916304,36.60274483
F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,3611051500,새롬동,"세종특별자치시 한누리대로 169, (나성동)",127.2618123,36.48023315
Q,음식,Q01,한식,Q01A10,쌈밥전문,I56111,한식 음식점업,3611034000,금남면,"세종특별자치시 금남면 금병로 993, (부용리)",127.3489471,36.49899017
D,소매,D18,사진/광학/정밀기기소매,D18A02,핸드폰소매,G47312,통신기기 소매업,3611025000,조치원읍,"세종특별자치시 조치원읍 장안로 10-5, (원리)",127.3011604,36.60074634
D,소매,D23,자동차/자동차용품,D23A06,자동차부품판매,G45219,기타 자동차신품 부품 및 내장품 판매업,3611025000,조치원읍,"세종특별자치시 조치원읍 배수장길 8, (남리)",127.3035634,36.59204573
F,생활서비스,F02,세탁/가사서비스,F02A05,청소/소독,,,3611025000,조치원읍,"세종특별자치시 조치원읍 오구미3길 7-7, (남리)",127.3033917,36.59872267
D,소매,D01,음/식료품소매,D01A13,청과물소매,G47214,과실 및 채소 소매업,3611025000,조치원읍,"세종특별자치시 조치원읍 신안새동네길 6, (신안리)",127.2921854,36.61417541
F,생활서비스,F15,주택수리,F15A03,배관난방보일러,F42201,배관 및 냉·난방 공사업,3611034000,금남면,"세종특별자치시 금남면 국곡길 81, (국곡리)",127.2717661,36.43137571
F,생활서비스,F13,기타서비스업,F13A01,사업경영상담,M71531,경영컨설팅업,3611035000,장군면,"세종특별자치시 장군면 할미터길 34-11, (하봉리)",127.1895789,36.49382345
L,부동산,L03,분양,L03A04,건물분양-종합,,,3611039000,소정면,"세종특별자치시 소정면 매실로 224, (고등리)",127.1964476,36.707878
Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,3611025000,조치원읍,"세종특별자치시 조치원읍 도장말길 30, (죽림리, 조치원신동아파밀리에)",127.2974675,36.59014445
L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,3611034000,금남면,"세종특별자치시 금남면 용포로 94-1, (용포리)",127.2818096,36.46703507
D,소매,D21,철물/난방/건설자재소매,D21A06,철물/건설자재소매,G47511,철물 및 난방용구 소매업,3611036000,연서면,"세종특별자치시 연서면 연서로 63, (성제리)",127.2606609,36.58485705
O,숙박,O02,모텔/여관/여인숙,O02A01,모텔/여관/여인숙,I55112,여관업,3611036000,연서면,"세종특별자치시 연서면 도신고복로 911-5, (고복리)",127.2478148,36.61313758
D,소매,D01,음/식료품소매,D01A07,반찬가게,G47219,기타 식료품 소매업,3611025000,조치원읍,"세종특별자치시 조치원읍 새내10길 40, (정리)",127.3004704,36.60041786
L,부동산,L03,분양,L03A04,건물분양-종합,,,3611051500,새롬동,"세종특별자치시 한누리대로 205, (나성동)",127.2599232,36.48290709
L,부동산,L03,분양,L03A04,건물분양-종합,,,3611034000,금남면,"세종특별자치시 금남면 용포로 21, (용포리)",127.2803848,36.46062778
N,관광/여가/오락,N02,무도/유흥/가무,N02A01,노래방,R91223,노래연습장 운영업,3611031000,연기면,"세종특별자치시 연기면 당산로 115, (연기리)",127.2764266,36.54433622
