시군구,단지명,전용면적(㎡),거래금액(만원),층,계약년월,계약일,분/입구분,해제사유발생일
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.6663,"        39,780",1,201711,28,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),59.6506,"        25,769",17,201711,29,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.9544,"        33,072",9,201711,29,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.9544,"        33,072",17,201712,1,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),59.6506,"        25,069",8,201712,4,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.9544,"        31,772",5,201712,5,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),59.6506,"        25,169",3,201712,6,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),105.6138,"        42,126",7,201712,6,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),64.1716,"        25,880",12,201712,7,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),105.6138,"        39,686",15,201712,12,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),59.6506,"        25,569",12,201712,12,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),59.6506,"        24,869",10,201712,12,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.9544,"        33,272",14,201712,13,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),105.7788,"        38,511",9,201712,14,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.9544,"        33,572",15,201712,14,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),59.6506,"        25,869",15,201712,14,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),105.6138,"        38,480",14,201712,14,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.8632,"        35,838",3,201712,15,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),105.7788,"        39,011",14,201712,15,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),125.0123,"        65,354",18,201712,17,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.9544,"        32,072",8,201712,17,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.9544,"        32,272",2,201712,18,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),105.6138,"        41,026",12,201712,18,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.6663,"        39,389",1,201712,20,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.9544,"        34,072",11,201712,20,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.9544,"        34,072",16,201712,21,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),59.6506,"        23,069",13,201712,21,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        37,642",5,201710,12,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),111.3454,"        44,822",10,201710,12,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),111.3454,"        47,080",7,201710,12,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        41,292",7,201710,13,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        37,332",5,201710,13,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        36,662",7,201710,13,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),111.3034,"        45,080",6,201710,14,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),111.3454,"        42,080",4,201710,16,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),111.3454,"        50,289",8,201710,17,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        41,562",17,201710,17,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),111.3034,"        37,382",1,201710,19,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),128.2159,"        45,072",1,201710,20,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        35,442",3,201710,20,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        35,932",2,201710,21,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        40,842",6,201710,22,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        44,542",7,201710,22,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        40,500",15,201710,25,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        57,739",16,201710,26,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        35,800",3,201710,26,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        39,200",7,201710,31,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        36,542",1,201711,2,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),111.3454,"        43,080",6,201711,8,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),111.3454,"        43,322",11,201711,9,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        41,000",13,201711,10,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        41,800",9,201711,10,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        54,829",15,201711,11,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),111.3454,"        41,222",5,201711,16,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),111.3034,"        38,360",2,201711,17,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        39,500",10,201711,17,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),120.4271,"        44,208",0,201711,20,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        49,690",16,201711,24,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),111.3454,"        43,022",8,201711,24,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),128.2159,"        43,750",1,201711,26,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),111.3034,"        41,312",5,201711,26,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        40,642",7,201711,29,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        45,762",7,201711,29,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        40,842",14,201712,2,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        39,500",13,201712,3,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        39,642",7,201712,3,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        39,720",11,201712,5,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        35,200",1,201712,6,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        41,500",15,201712,6,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        50,256",8,201712,6,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),111.3454,"        41,722",12,201712,7,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        40,842",7,201712,7,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),111.3454,"        41,122",3,201712,7,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        49,766",18,201712,7,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),111.3454,"        42,080",15,201712,8,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),111.3454,"        42,522",13,201712,8,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        41,642",11,201712,8,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        40,000",8,201712,8,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),111.3454,"        44,022",11,201712,9,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        47,042",1,201712,10,분,
세종특별자치시 고운동,가락마을 1단지(힐데스하임1차),107.1454,"        40,692",12,201712,27,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        35,990",6,201704,25,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        37,717",11,201704,26,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        36,490",7,201704,26,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.37,"        34,978",4,201704,26,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        32,053",1,201704,26,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.3699,"        37,360",10,201704,26,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        38,508",14,201704,27,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        36,653",8,201704,27,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        35,490",9,201704,27,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        37,199",13,201704,28,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.6376,"        35,970",5,201704,28,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        37,699",8,201704,28,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        40,490",14,201704,29,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        39,990",14,201704,29,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        37,199",15,201705,1,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.3699,"        33,443",1,201705,1,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.3699,"        38,550",8,201705,2,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        37,290",15,201705,5,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        36,290",8,201705,7,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        35,290",3,201705,7,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.3699,"        36,150",13,201705,8,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.3699,"        36,650",11,201705,10,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        36,990",10,201705,10,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.3699,"        37,650",11,201705,10,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),101.8986,"        36,717",13,201705,11,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        36,990",11,201705,12,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        41,199",14,201705,13,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        36,990",10,201705,13,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.6816,"        38,650",4,201705,14,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        40,599",9,201705,15,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.3699,"        34,750",7,201705,16,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.3699,"        40,150",9,201705,16,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        32,953",2,201705,16,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        37,508",6,201705,18,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        37,990",12,201705,18,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        40,590",12,201705,18,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        37,190",11,201705,19,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        35,553",1,201705,22,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        36,699",10,201705,22,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        35,640",10,201705,23,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        39,990",6,201705,23,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        41,799",6,201705,25,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        38,271",3,201705,25,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        36,490",9,201705,26,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),123.0291,"        40,610",1,201705,27,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        39,990",5,201705,27,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.3699,"        38,650",9,201705,27,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.6376,"        34,550",2,201705,28,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        38,199",9,201705,30,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.7296,"        44,550",9,201706,4,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.6816,"        38,500",16,201706,5,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        37,799",15,201706,7,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        40,870",2,201706,8,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.3699,"        38,178",12,201706,9,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        42,793",5,201706,9,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        38,990",10,201706,9,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        36,790",5,201706,13,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.7296,"        46,170",12,201706,14,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),134.081,"        60,350",15,201706,15,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        35,470",3,201706,16,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        35,670",3,201706,17,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        36,153",12,201706,19,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        43,990",8,201706,20,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        43,990",8,201706,20,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        39,053",1,201706,21,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        41,190",4,201706,24,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        44,002",7,201706,24,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        45,508",15,201706,29,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.3699,"        43,850",10,201707,1,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.3699,"        44,178",8,201707,17,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.6376,"        42,850",11,201707,28,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        38,490",10,201707,29,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        39,990",14,201707,29,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        40,453",2,201707,31,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        39,553",1,201708,2,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        40,190",13,201708,13,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        35,990",15,201708,15,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),134.081,"        63,350",16,201708,24,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.7296,"        38,650",3,201708,28,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.6376,"        39,350",11,201708,28,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        38,653",11,201708,30,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        41,390",13,201709,1,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        35,890",1,201709,8,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        41,867",11,201709,10,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.3699,"        36,250",2,201710,15,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.6816,"        34,850",1,201710,15,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        38,893",3,201710,16,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        40,690",7,201710,17,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        37,499",1,201710,21,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        41,002",16,201710,22,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        39,990",11,201711,2,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.3699,"        39,450",16,201711,3,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.3699,"        39,550",13,201711,4,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        39,990",12,201711,7,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        41,293",16,201711,8,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        39,890",8,201711,18,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        40,490",15,201711,22,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        40,000",15,201711,25,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.6376,"        44,400",8,201711,25,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.3699,"        39,150",6,201711,28,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        36,490",3,201712,2,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        38,990",12,201712,2,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        39,453",10,201712,6,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.6816,"        40,050",13,201712,8,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        39,903",11,201712,9,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.6376,"        43,850",14,201712,12,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        39,799",8,201712,14,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        38,199",8,201712,15,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        38,999",18,201712,17,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        37,090",3,201712,26,분,
세종특별자치시 고운동,가락마을18단지(힐스테이트),100.8986,"        40,671",16,201712,28,분,
세종특별자치시 나성동,세종SR파크,22.14,"        10,927",7,201701,20,분,
세종특별자치시 나성동,세종SR파크,24.95,"        12,249",7,201702,2,분,
세종특별자치시 나성동,세종SR파크,22.09,"        10,985",8,201704,10,분,
세종특별자치시 나성동,세종SR파크,21.59,"        10,346",4,201704,28,분,
세종특별자치시 나성동,세종SR파크,21.59,"        10,346",4,201704,28,분,
세종특별자치시 나성동,세종SR파크,23.1,"        11,368",7,201705,30,분,
세종특별자치시 나성동,세종SR파크,25,"        11,846",4,201706,2,분,
세종특별자치시 나성동,세종SR파크,25.61,"        12,367",5,201706,13,분,
세종특별자치시 나성동,세종SR파크,24.44,"        11,408",5,201707,26,분,
세종특별자치시 나성동,세종SR파크,24.72,"        11,920",5,201708,16,분,
세종특별자치시 나성동,세종SR파크,24.95,"        11,034",6,201709,12,분,
세종특별자치시 나성동,세종SR파크,25,"        12,096",5,201709,20,분,
세종특별자치시 나성동,세종SR파크,24.44,"        11,808",5,201709,21,분,
세종특별자치시 나성동,세종SR파크,27.12,"        13,188",6,201710,10,분,
세종특별자치시 나성동,세종SR파크,23.94,"        11,767",7,201710,11,분,
세종특별자치시 나성동,세종SR파크,23.94,"        11,567",5,201710,11,분,
세종특별자치시 나성동,세종SR파크,23.77,"        11,686",7,201710,11,분,
세종특별자치시 나성동,세종SR파크,24.95,"        12,049",5,201710,11,분,
세종특별자치시 나성동,세종SR파크,21.59,"        10,646",7,201710,11,분,
세종특별자치시 나성동,세종SR파크,24.27,"        11,727",5,201710,11,분,
세종특별자치시 나성동,세종SR파크,24.78,"        12,169",7,201710,20,분,
세종특별자치시 나성동,세종SR파크,24.27,"        11,927",7,201710,20,분,
세종특별자치시 나성동,세종SR파크,25.95,"        12,452",4,201710,28,분,
세종특별자치시 나성동,세종SR파크,24.27,"        11,727",5,201710,30,분,
세종특별자치시 나성동,세종SR파크,24.61,"        12,088",7,201711,1,분,
세종특별자치시 나성동,세종SR파크,63.696,"        26,500",3,201711,1,분,
세종특별자치시 나성동,세종SR파크,22.14,"        10,727",5,201711,2,분,
세종특별자치시 나성동,세종SR파크,23.94,"        11,000",5,201711,3,분,
세종특별자치시 나성동,세종마루2,23.647,"        10,900",3,201711,15,분,
세종특별자치시 나성동,세종마루2,28.127,"        13,550",7,201712,19,분,
세종특별자치시 나성동,세종포레뷰2,28.387,"        13,730",8,201701,5,분,
세종특별자치시 나성동,세종포레뷰2,28.189,"        12,420",4,201702,3,분,
세종특별자치시 나성동,세종포레뷰2,28.9575,"        13,230",4,201702,4,분,
세종특별자치시 나성동,세종포레뷰2,27.9895,"        13,040",6,201708,2,분,
세종특별자치시 나성동,세종포레뷰2,28.387,"        12,184",7,201711,28,분,
세종특별자치시 나성동,세종포레뷰2,28.9575,"        13,230",3,201712,1,분,
세종특별자치시 나성동,세종포레뷰2,28.387,"        13,230",6,201712,4,분,
세종특별자치시 나성동,세종한스웰시티,26.74,"        13,070",6,201701,12,분,
세종특별자치시 나성동,세종한스웰시티,24.12,"        11,978",8,201701,12,분,
세종특별자치시 나성동,세종한스웰시티,24.12,"        12,278",8,201703,29,분,
세종특별자치시 나성동,에스알파크시티,23.94,"        11,767",7,201711,7,분,
세종특별자치시 나성동,에스알파크시티,24.27,"        11,627",4,201711,8,분,
세종특별자치시 나성동,에스알파크시티,22.09,"        10,685",5,201711,17,분,
세종특별자치시 나성동,에스알파크시티,22.09,"        10,785",6,201711,22,분,
세종특별자치시 나성동,에스알파크시티,22.09,"        10,585",4,201711,22,분,
세종특별자치시 나성동,에스알파크시티,41.27,"        19,505",4,201711,23,분,
세종특별자치시 나성동,포레뷰투도시형생활주택,28.3925,"        13,300",6,201711,30,분,
세종특별자치시 나성동,포레뷰투도시형생활주택,28.3925,"        13,480",8,201712,24,분,
세종특별자치시 나성동,포레뷰투도시형생활주택,27.4996,"        12,920",8,201712,26,분,
세종특별자치시 다정동,가온마을 11단지(지웰 푸르지오),74.2745,"        29,324",6,201709,20,분,
세종특별자치시 다정동,가온마을 11단지(지웰 푸르지오),74.7562,"        28,533",10,201709,21,분,
세종특별자치시 다정동,가온마을 11단지(지웰 푸르지오),74.2745,"        30,634",4,201709,23,분,
세종특별자치시 다정동,가온마을 11단지(지웰 푸르지오),74.0673,"        33,254",10,201709,24,분,
세종특별자치시 다정동,가온마을 11단지(지웰 푸르지오),74.2745,"        31,124",7,201709,24,분,
세종특별자치시 다정동,가온마을 11단지(지웰 푸르지오),74.1299,"        34,798",16,201709,25,분,
세종특별자치시 다정동,가온마을 11단지(지웰 푸르지오),74.7562,"        32,343",15,201709,28,분,
세종특별자치시 다정동,가온마을 11단지(지웰 푸르지오),74.2745,"        29,824",10,201710,18,분,
세종특별자치시 다정동,가온마을 11단지(지웰 푸르지오),74.7562,"        31,643",10,201710,30,분,
세종특별자치시 다정동,가온마을 11단지(지웰 푸르지오),74.0673,"        34,254",9,201711,8,분,
세종특별자치시 다정동,가온마을 11단지(지웰 푸르지오),74.7562,"        34,263",27,201711,17,분,
세종특별자치시 다정동,가온마을 11단지(지웰 푸르지오),74.1299,"        36,288",24,201711,21,분,
