계약년월,계약일,시군구,도로조건,계약면적(㎡),전월세구분,보증금(만원),월세(만원),건축년도
201710,29,세종특별자치시 금남면 용포리,12m미만,33,전세,"5,700",0,2013
201705,16,세종특별자치시 금남면 용포리,8m미만,39.66,전세,"5,500",0,2012
201702,17,세종특별자치시 금남면 용포리,8m미만,40,월세,200,35,2013
201703,28,세종특별자치시 금남면 용포리,-,40,월세,100,35,
201707,16,세종특별자치시 금남면 용포리,8m미만,40,전세,"5,000",0,2014
201712,6,세종특별자치시 금남면 용포리,8m미만,49.5,전세,"4,500",0,2013
201709,22,세종특별자치시 금남면 용포리,8m미만,56.1,전세,"8,000",0,2014
201703,24,세종특별자치시 금남면 용포리,8m미만,70,월세,"3,000",30,1996
201710,16,세종특별자치시 금남면 용포리,8m미만,79,전세,"4,500",0,2011
201710,16,세종특별자치시 금남면 용포리,8m미만,79,전세,"4,500",0,2011
201705,19,세종특별자치시 금남면 용포리,8m미만,82.6,전세,"10,000",0,2012
201709,27,세종특별자치시 금남면 용포리,8m미만,92.5,월세,"5,000",45,2012
201703,11,세종특별자치시 금남면 용포리,8m미만,115,전세,"10,000",0,2011
201708,10,세종특별자치시 금남면 원봉리,8m미만,20,월세,50,5,2014
201706,29,세종특별자치시 금남면 호탄리,8m미만,70,월세,"2,000",50,1946
201705,27,세종특별자치시 도담동,12m미만,146,월세,"10,000",40,
201708,14,세종특별자치시 도담동,12m미만,201.01,전세,"52,000",0,2017
201707,2,세종특별자치시 부강면 금호리,8m미만,92.4,월세,500,40,1996
201707,30,세종특별자치시 부강면 금호리,8m미만,140.18,전세,"10,000",0,2016
201707,24,세종특별자치시 부강면 부강리,8m미만,15,월세,"1,000",40,2017
201708,9,세종특별자치시 부강면 부강리,8m미만,15,전세,"7,500",0,2017
201707,11,세종특별자치시 부강면 부강리,-,15,전세,"5,500",0,2017
201709,16,세종특별자치시 부강면 부강리,8m미만,15,전세,"5,000",0,2017
201703,28,세종특별자치시 부강면 부강리,12m미만,16.5,월세,10,10,
201709,1,세종특별자치시 부강면 부강리,8m미만,20,월세,500,44,2017
201703,21,세종특별자치시 부강면 부강리,8m미만,23,월세,200,30,2016
201708,24,세종특별자치시 부강면 부강리,12m미만,23,전세,"3,000",0,2013
201702,22,세종특별자치시 부강면 부강리,8m미만,23.1,월세,"3,500",10,2013
201711,30,세종특별자치시 부강면 부강리,8m미만,23.1,월세,"2,000",13,2013
201709,2,세종특별자치시 부강면 부강리,-,25,월세,100,35,2017
201707,14,세종특별자치시 부강면 부강리,8m미만,25,월세,"2,000",10,2017
201708,16,세종특별자치시 부강면 부강리,8m미만,25,월세,300,32,2017
201709,23,세종특별자치시 부강면 부강리,12m미만,25,월세,"1,000",20,2013
201705,24,세종특별자치시 부강면 부강리,12m미만,25,월세,500,30,2013
201708,31,세종특별자치시 부강면 부강리,12m미만,25,월세,200,25,2013
201708,10,세종특별자치시 부강면 부강리,-,25,전세,"4,300",0,2017
201710,16,세종특별자치시 부강면 부강리,12m미만,25,전세,"3,000",0,2013
201702,18,세종특별자치시 부강면 부강리,12m미만,25,전세,"3,000",0,2013
201705,20,세종특별자치시 부강면 부강리,12m미만,25,전세,"3,000",0,2013
201702,22,세종특별자치시 부강면 부강리,12m미만,25,전세,"5,000",0,2013
201703,4,세종특별자치시 부강면 부강리,8m미만,26.45,전세,"3,000",0,2013
201709,8,세종특별자치시 부강면 부강리,12m미만,27,월세,"3,900",5,2017
201704,7,세종특별자치시 부강면 부강리,12m미만,27,전세,"4,000",0,2013
201703,21,세종특별자치시 부강면 부강리,12m미만,27,전세,"4,000",0,2013
201710,24,세종특별자치시 부강면 부강리,12m미만,27,전세,"3,000",0,2013
201706,24,세종특별자치시 부강면 부강리,12m미만,27,전세,"4,000",0,2013
201705,18,세종특별자치시 부강면 부강리,8m미만,28.85,월세,300,30,2017
201711,28,세종특별자치시 부강면 부강리,8m미만,29.75,전세,"3,800",0,2017
201712,1,세종특별자치시 부강면 부강리,12m미만,30,월세,300,33,2017
201712,2,세종특별자치시 부강면 부강리,8m미만,30,월세,200,32,2017
201712,2,세종특별자치시 부강면 부강리,-,30,월세,300,28,2017
201711,4,세종특별자치시 부강면 부강리,12m미만,30,월세,200,32,2013
201703,4,세종특별자치시 부강면 부강리,8m미만,30,월세,"2,000",25,2016
201711,21,세종특별자치시 부강면 부강리,8m미만,30,월세,200,30,2017
201712,25,세종특별자치시 부강면 부강리,8m미만,30,월세,200,32,2016
201708,8,세종특별자치시 부강면 부강리,12m미만,30,전세,"4,500",0,2013
201711,10,세종특별자치시 부강면 부강리,8m미만,30,전세,"3,200",0,2013
201705,26,세종특별자치시 부강면 부강리,12m미만,30,전세,"4,000",0,2013
201703,31,세종특별자치시 부강면 부강리,12m미만,30,전세,"4,500",0,2013
201711,4,세종특별자치시 부강면 부강리,12m미만,32.85,전세,"3,500",0,2013
201701,2,세종특별자치시 부강면 부강리,12m미만,33,월세,"3,500",10,2013
201701,2,세종특별자치시 부강면 부강리,12m미만,33,전세,"3,500",0,2013
201710,23,세종특별자치시 부강면 부강리,8m미만,33,전세,"5,000",0,2017
201701,25,세종특별자치시 부강면 부강리,12m미만,35,월세,"1,000",33,2013
201706,5,세종특별자치시 부강면 부강리,8m미만,35,전세,"5,000",0,2017
201701,12,세종특별자치시 부강면 부강리,8m미만,35,전세,"3,500",0,
201706,16,세종특별자치시 부강면 부강리,8m미만,35,전세,"5,000",0,2017
201702,23,세종특별자치시 부강면 부강리,12m미만,35,전세,"3,800",0,2013
201708,26,세종특별자치시 부강면 부강리,12m미만,35,전세,"5,500",0,2017
201709,28,세종특별자치시 부강면 부강리,-,35,전세,"5,000",0,2017
201710,6,세종특별자치시 부강면 부강리,12m미만,36,전세,"2,400",0,
201712,11,세종특별자치시 부강면 부강리,12m미만,36,전세,"2,500",0,2012
201710,16,세종특별자치시 부강면 부강리,12m미만,38.85,월세,"2,000",20,2013
201709,1,세종특별자치시 부강면 부강리,12m미만,40,월세,300,40,2013
201712,30,세종특별자치시 부강면 부강리,12m미만,40,전세,"5,500",0,2013
201712,15,세종특별자치시 부강면 부강리,12m미만,42.23,전세,"9,000",0,2017
201707,11,세종특별자치시 부강면 부강리,-,45,전세,"5,500",0,2017
201712,4,세종특별자치시 부강면 부강리,-,49.5,전세,"5,000",0,2017
201711,10,세종특별자치시 부강면 부강리,-,49.5,전세,"5,200",0,2017
201711,25,세종특별자치시 부강면 부강리,-,49.5,전세,"5,200",0,2017
201711,27,세종특별자치시 부강면 부강리,-,49.5,전세,"5,000",0,2017
201703,8,세종특별자치시 부강면 부강리,8m미만,49.59,전세,"6,000",0,2013
201711,6,세종특별자치시 부강면 부강리,8m미만,50,전세,"7,000",0,2017
201704,11,세종특별자치시 부강면 부강리,8m미만,50,전세,"5,000",0,2013
201704,17,세종특별자치시 부강면 부강리,12m미만,50,전세,"7,500",0,2013
201707,27,세종특별자치시 부강면 부강리,8m미만,50,전세,"6,000",0,2013
201706,30,세종특별자치시 부강면 부강리,12m미만,50,전세,"6,000",0,2013
201701,10,세종특별자치시 부강면 부강리,8m미만,55,월세,"1,000",45,2013
201707,19,세종특별자치시 부강면 부강리,25m미만,55.9,월세,"1,000",15,2012
201710,28,세종특별자치시 부강면 부강리,8m미만,60,월세,"2,000",23,2017
201705,20,세종특별자치시 부강면 부강리,12m미만,60,전세,"6,500",0,2013
201704,12,세종특별자치시 부강면 부강리,8m미만,61.51,전세,"5,000",0,2008
201705,6,세종특별자치시 부강면 부강리,12m미만,75,월세,"5,500",30,2013
201703,25,세종특별자치시 부강면 부강리,12m미만,79.3,월세,"1,000",40,2013
201703,20,세종특별자치시 부강면 부강리,8m미만,80.99,전세,"11,000",0,2017
201703,25,세종특별자치시 부강면 부강리,12m미만,81.16,전세,"12,000",0,2013
201706,5,세종특별자치시 부강면 부강리,-,82,전세,"11,000",0,2017
201706,19,세종특별자치시 부강면 부강리,8m미만,82,전세,"10,000",0,2017
201709,12,세종특별자치시 부강면 부강리,-,84,전세,"13,000",0,2017
201710,28,세종특별자치시 부강면 부강리,8m미만,84,전세,"10,500",0,2012
201709,2,세종특별자치시 부강면 부강리,-,91.54,전세,"13,000",0,2017
201710,10,세종특별자치시 부강면 부강리,8m미만,99.17,전세,"13,000",0,2017
201712,7,세종특별자치시 부강면 부강리,12m미만,125,전세,"12,000",0,2013
201710,22,세종특별자치시 소담동,-,30.74,전세,"8,000",0,
201708,31,세종특별자치시 소정면 대곡리,-,104.33,전세,"4,000",0,1998
201703,7,세종특별자치시 소정면 소정리,25m미만,40.5,월세,500,30,2002
201704,13,세종특별자치시 소정면 운당리,8m미만,86.22,전세,"2,000",0,2009
201708,16,세종특별자치시 아름동,12m미만,146.76,전세,"30,000",0,
201706,24,세종특별자치시 연기면 보통리,12m미만,22.4,전세,"3,500",0,2013
201702,26,세종특별자치시 연기면 보통리,8m미만,22.4,전세,"3,000",0,2013
201708,10,세종특별자치시 연기면 보통리,8m미만,23.1,전세,"2,700",0,2014
201712,1,세종특별자치시 연기면 보통리,8m미만,25,전세,"3,000",0,2013
201709,8,세종특별자치시 연기면 보통리,8m미만,25,전세,"3,000",0,2013
201709,11,세종특별자치시 연기면 보통리,8m미만,25.56,전세,"3,500",0,2013
201704,29,세종특별자치시 연기면 보통리,12m미만,25.56,전세,"3,600",0,2013
201707,27,세종특별자치시 연기면 보통리,8m미만,26,월세,100,29,2014
201709,7,세종특별자치시 연기면 보통리,8m미만,26.44,월세,100,29,2014
201703,7,세종특별자치시 연기면 보통리,8m미만,26.44,전세,"4,000",0,2014
201707,31,세종특별자치시 연기면 보통리,8m미만,26.44,전세,"3,500",0,2014
201711,17,세종특별자치시 연기면 보통리,8m미만,30,월세,30,35,2013
201702,7,세종특별자치시 연기면 보통리,8m미만,33,월세,300,37,2013
201702,10,세종특별자치시 연기면 보통리,8m미만,33,전세,"3,000",0,2013
201706,17,세종특별자치시 연기면 보통리,8m미만,33,전세,"3,000",0,2014
201701,3,세종특별자치시 연기면 보통리,8m미만,40,전세,"5,800",0,2013
201703,21,세종특별자치시 연기면 보통리,8m미만,42.64,전세,"3,000",0,2013
201702,15,세종특별자치시 연기면 보통리,12m미만,43,전세,"4,500",0,2013
201702,26,세종특별자치시 연기면 보통리,8m미만,46.3,월세,"3,000",20,2013
201711,21,세종특별자치시 연기면 보통리,8m미만,52.8,전세,"5,500",0,2014
201705,22,세종특별자치시 연기면 보통리,8m미만,54.4,전세,"6,500",0,2014
201712,7,세종특별자치시 연기면 보통리,8m미만,66,전세,"8,000",0,2014
201703,10,세종특별자치시 연기면 보통리,8m미만,87.93,전세,"7,500",0,2014
201706,30,세종특별자치시 연기면 연기리,8m미만,15.5,전세,"2,000",0,2013
201706,24,세종특별자치시 연기면 연기리,8m미만,19.8,월세,0,10,1967
201707,20,세종특별자치시 연기면 연기리,8m미만,20,월세,50,23,2013
201706,27,세종특별자치시 연기면 연기리,8m미만,20,월세,50,23,2012
201709,13,세종특별자치시 연기면 연기리,8m미만,21,전세,"3,000",0,2012
201705,6,세종특별자치시 연기면 연기리,8m미만,23.1,전세,"3,800",0,2014
201711,8,세종특별자치시 연기면 연기리,8m미만,23.1,전세,"2,000",0,2014
201710,10,세종특별자치시 연기면 연기리,8m미만,23.1,전세,"2,000",0,2014
201706,26,세종특별자치시 연기면 연기리,-,23.1,전세,"2,000",0,2014
201703,6,세종특별자치시 연기면 연기리,8m미만,26,월세,"1,000",15,2013
201707,15,세종특별자치시 연기면 연기리,8m미만,26,월세,50,20,2012
201707,15,세종특별자치시 연기면 연기리,8m미만,26,월세,50,20,2012
201701,20,세종특별자치시 연기면 연기리,8m미만,26,전세,"2,500",0,2013
201708,30,세종특별자치시 연기면 연기리,8m미만,26,전세,"2,500",0,2013
201709,6,세종특별자치시 연기면 연기리,8m미만,26.44,월세,100,24,2014
201709,6,세종특별자치시 연기면 연기리,8m미만,26.44,월세,100,24,2014
201704,28,세종특별자치시 연기면 연기리,8m미만,26.44,월세,50,20,2014
201708,12,세종특별자치시 연기면 연기리,8m미만,26.44,전세,"3,000",0,2012
201708,23,세종특별자치시 연기면 연기리,8m미만,26.44,전세,"2,500",0,2012
201702,23,세종특별자치시 연기면 연기리,8m미만,30,월세,200,20,2014
201707,4,세종특별자치시 연기면 연기리,8m미만,30,전세,"2,500",0,2012
201712,12,세종특별자치시 연기면 연기리,-,33,월세,"3,000",25,
201703,23,세종특별자치시 연기면 연기리,8m미만,33,월세,"2,000",30,2012
201705,15,세종특별자치시 연기면 연기리,8m미만,40,월세,"4,000",10,2012
201705,29,세종특별자치시 연기면 연기리,8m미만,40,월세,100,36,2012
201712,28,세종특별자치시 연기면 연기리,8m미만,42.9,전세,"2,500",0,2014
201708,29,세종특별자치시 연기면 연기리,-,42.9,전세,"5,000",0,2012
201712,20,세종특별자치시 연기면 연기리,8m미만,48,전세,"4,000",0,2013
201707,29,세종특별자치시 연기면 연기리,8m미만,49.6,전세,"6,000",0,2012
201706,15,세종특별자치시 연기면 연기리,8m미만,56,월세,"2,500",30,2012
201709,14,세종특별자치시 연기면 연기리,8m미만,72.7,전세,"5,000",0,2012
201711,6,세종특별자치시 연기면 연기리,-,82.6,전세,"4,000",0,
201701,10,세종특별자치시 연기면 연기리,8m미만,83.69,월세,"6,000",10,
201704,27,세종특별자치시 연기면 연기리,8m미만,108.9,월세,500,65,2013
201712,25,세종특별자치시 연동면 내판리,8m미만,20,월세,100,10,1960
201710,27,세종특별자치시 연동면 내판리,8m미만,46.28,전세,"1,000",0,1956
201706,17,세종특별자치시 연동면 노송리,8m미만,99.56,월세,100,20,2014
201706,20,세종특별자치시 연동면 송용리,8m미만,42.97,월세,100,10,1972
201708,31,세종특별자치시 연서면 국촌리,8m미만,19.83,월세,100,20,1956
201708,20,세종특별자치시 연서면 국촌리,8m미만,80.12,월세,"1,000",20,2010
201708,28,세종특별자치시 연서면 국촌리,8m미만,80.12,전세,"4,000",0,2010
201701,10,세종특별자치시 연서면 기룡리,-,38,전세,"3,900",0,
201708,7,세종특별자치시 연서면 봉암리,8m미만,15,월세,100,23,2013
201708,7,세종특별자치시 연서면 봉암리,8m미만,15,월세,100,23,2013
201702,19,세종특별자치시 연서면 봉암리,8m미만,15,월세,100,24,2013
201705,1,세종특별자치시 연서면 봉암리,8m미만,20,월세,100,20,2013
201704,1,세종특별자치시 연서면 봉암리,8m미만,22.2,월세,500,16,2013
201706,3,세종특별자치시 연서면 봉암리,8m미만,23,월세,100,25,2014
201712,8,세종특별자치시 연서면 봉암리,8m미만,23,월세,"1,500",22,2013
201708,11,세종특별자치시 연서면 봉암리,8m미만,23,월세,"1,500",15,2013
201702,13,세종특별자치시 연서면 봉암리,8m미만,23,월세,100,20,2013
201705,16,세종특별자치시 연서면 봉암리,8m미만,23,월세,200,25,2013
201702,22,세종특별자치시 연서면 봉암리,8m미만,23,월세,100,20,2013
201710,28,세종특별자치시 연서면 봉암리,8m미만,23,월세,100,23,2014
201706,5,세종특별자치시 연서면 봉암리,8m미만,23,전세,"3,000",0,2014
201704,6,세종특별자치시 연서면 봉암리,8m미만,23,전세,"3,000",0,2014
201705,9,세종특별자치시 연서면 봉암리,-,23,전세,"4,000",0,2013
201710,11,세종특별자치시 연서면 봉암리,8m미만,23,전세,"3,000",0,2014
201701,12,세종특별자치시 연서면 봉암리,8m미만,23,전세,"5,500",0,2014
201712,29,세종특별자치시 연서면 봉암리,8m미만,23,전세,"2,700",0,2013
201708,8,세종특별자치시 연서면 봉암리,8m미만,23.14,월세,50,22,2013
201701,7,세종특별자치시 연서면 봉암리,8m미만,24,월세,200,24,2013
201702,18,세종특별자치시 연서면 봉암리,8m미만,24,전세,"3,000",0,2014
201711,4,세종특별자치시 연서면 봉암리,8m미만,26,월세,"1,500",15,2013
201704,5,세종특별자치시 연서면 봉암리,8m미만,26.43,전세,"2,500",0,2013
201707,7,세종특별자치시 연서면 봉암리,8m미만,26.44,월세,100,24,2013
201706,29,세종특별자치시 연서면 봉암리,8m미만,26.44,전세,"2,500",0,2013
201706,29,세종특별자치시 연서면 봉암리,8m미만,26.44,전세,"2,500",0,2013
201706,16,세종특별자치시 연서면 봉암리,8m미만,27,월세,"2,000",4,2014
201705,10,세종특별자치시 연서면 봉암리,8m미만,27,전세,"3,500",0,2013
201710,10,세종특별자치시 연서면 봉암리,8m미만,27,전세,"3,500",0,2013
201703,11,세종특별자치시 연서면 봉암리,8m미만,28,월세,500,20,2014
201703,18,세종특별자치시 연서면 봉암리,8m미만,28,월세,100,27,2014
201702,16,세종특별자치시 연서면 봉암리,-,30,전세,"4,000",0,
201704,1,세종특별자치시 연서면 봉암리,8m미만,33,월세,200,32,2013
201710,10,세종특별자치시 연서면 봉암리,8m미만,33,월세,100,50,2014
201706,29,세종특별자치시 연서면 봉암리,8m미만,33,월세,300,40,2014
201702,11,세종특별자치시 연서면 봉암리,8m미만,33,전세,"4,500",0,2014
201712,15,세종특별자치시 연서면 봉암리,8m미만,33,전세,"3,000",0,2013
201703,28,세종특별자치시 연서면 봉암리,-,33,전세,"3,000",0,
201701,13,세종특별자치시 연서면 봉암리,8m미만,38,월세,"1,500",20,2013
201701,10,세종특별자치시 연서면 봉암리,8m미만,38,전세,"3,900",0,2013
201706,17,세종특별자치시 연서면 봉암리,12m미만,39,월세,"4,000",13,2013
201705,4,세종특별자치시 연서면 봉암리,8m미만,40,전세,"4,800",0,2013
201706,20,세종특별자치시 연서면 봉암리,8m미만,42.9,월세,100,35,2013
201704,26,세종특별자치시 연서면 봉암리,8m미만,42.9,전세,"3,500",0,2013
201708,24,세종특별자치시 연서면 봉암리,8m미만,49,월세,500,40,2014
201707,26,세종특별자치시 연서면 봉암리,8m미만,49.5,전세,"4,500",0,2013
201707,26,세종특별자치시 연서면 봉암리,12m미만,49.91,전세,"5,000",0,2012
201704,1,세종특별자치시 연서면 봉암리,8m미만,50,월세,300,37,2013
201701,23,세종특별자치시 연서면 봉암리,12m미만,59.5,월세,"3,000",25,2013
201711,20,세종특별자치시 연서면 봉암리,12m미만,59.5,전세,"5,500",0,2013
201711,20,세종특별자치시 연서면 봉암리,-,59.5,전세,"5,500",0,2013
201708,30,세종특별자치시 연서면 봉암리,8m미만,72.57,전세,"3,000",0,1940
201707,28,세종특별자치시 연서면 봉암리,12m미만,77.7,전세,"8,000",0,2015
201705,10,세종특별자치시 연서면 봉암리,8m미만,82.6,전세,"8,000",0,2013
201712,14,세종특별자치시 연서면 봉암리,8m미만,82.84,월세,500,20,1982
201708,14,세종특별자치시 연서면 봉암리,-,176.07,전세,"5,000",0,
201704,12,세종특별자치시 연서면 신대리,8m미만,29.75,월세,500,15,1961
201708,18,세종특별자치시 연서면 월하리,8m미만,26.44,월세,70,19,2014
201710,9,세종특별자치시 연서면 월하리,8m미만,40,월세,"4,000",13,2014
201706,7,세종특별자치시 연서면 월하리,8m미만,79,월세,"2,000",40,1980
201705,16,세종특별자치시 연서면 월하리,8m미만,80.55,전세,"5,000",0,1986
201703,28,세종특별자치시 연서면 월하리,25m이상,127.92,전세,"5,000",0,1995
201709,23,세종특별자치시 연서면 월하리,8m미만,148.25,전세,"5,000",0,2014
201707,5,세종특별자치시 연서면 월하리,12m미만,156.87,전세,"15,000",0,2000
201701,31,세종특별자치시 장군면 금암리,8m미만,21.48,전세,"4,000",0,2014
201702,20,세종특별자치시 장군면 금암리,-,23.1,전세,"3,000",0,2011
201702,16,세종특별자치시 장군면 금암리,12m미만,23.14,전세,"3,000",0,2011
201708,17,세종특별자치시 장군면 금암리,12m미만,23.46,월세,50,25,
201705,21,세종특별자치시 장군면 금암리,8m미만,27.2,전세,"6,000",0,2017
201711,2,세종특별자치시 장군면 금암리,-,39.6,전세,"2,000",0,
201711,30,세종특별자치시 장군면 금암리,-,39.6,전세,"2,500",0,
201703,1,세종특별자치시 장군면 금암리,12m미만,39.66,월세,30,30,
201706,24,세종특별자치시 장군면 금암리,8m미만,39.95,월세,300,25,
201703,7,세종특별자치시 장군면 금암리,8m미만,39.95,전세,"6,000",0,2017
201705,12,세종특별자치시 장군면 금암리,8m미만,39.95,전세,"5,000",0,2017
201703,31,세종특별자치시 장군면 금암리,8m미만,39.95,전세,"6,000",0,
201701,11,세종특별자치시 장군면 금암리,8m미만,43,전세,"5,000",0,2014
201711,25,세종특별자치시 장군면 금암리,12m미만,49.5,월세,"1,000",14,
201706,17,세종특별자치시 장군면 금암리,8m미만,59.07,월세,"1,000",55,2017
201712,6,세종특별자치시 장군면 금암리,8m미만,90.98,전세,"15,000",0,2018
201712,4,세종특별자치시 장군면 대교리,8m미만,20,월세,100,26,2012
201709,6,세종특별자치시 장군면 대교리,8m미만,20,월세,100,29,2013
201701,10,세종특별자치시 장군면 대교리,8m미만,20,전세,"3,000",0,2013
201701,14,세종특별자치시 장군면 대교리,-,20,전세,"3,500",0,2013
201704,24,세종특별자치시 장군면 대교리,8m미만,20,전세,"3,000",0,2013
201712,28,세종특별자치시 장군면 대교리,8m미만,20,전세,"3,000",0,2013
201707,18,세종특별자치시 장군면 대교리,8m미만,25,전세,"5,500",0,2004
201702,10,세종특별자치시 장군면 대교리,8m미만,28,전세,"3,000",0,2013
201706,11,세종특별자치시 장군면 대교리,-,28,전세,"3,500",0,2013
201701,6,세종특별자치시 장군면 대교리,8m미만,90,월세,"2,000",60,2016
201702,11,세종특별자치시 장군면 도계리,8m미만,10,전세,"2,000",0,2014
201702,12,세종특별자치시 장군면 도계리,8m미만,20,월세,100,30,2013
201702,2,세종특별자치시 장군면 도계리,8m미만,20,전세,"3,000",0,2013
201705,3,세종특별자치시 장군면 도계리,8m미만,20,전세,"3,000",0,2013
201704,10,세종특별자치시 장군면 도계리,8m미만,20,전세,"3,000",0,2013
201704,10,세종특별자치시 장군면 도계리,8m미만,20,전세,"3,000",0,2013
201706,23,세종특별자치시 장군면 도계리,12m미만,20,전세,"3,300",0,2013
201704,24,세종특별자치시 장군면 도계리,8m미만,20,전세,"3,300",0,2013
201709,26,세종특별자치시 장군면 도계리,8m미만,20,전세,"3,000",0,2013
201703,29,세종특별자치시 장군면 도계리,12m미만,21.6,전세,"3,000",0,2013
201704,6,세종특별자치시 장군면 도계리,8m미만,23,월세,100,30,2014
201702,15,세종특별자치시 장군면 도계리,8m미만,25,월세,50,30,2014
201711,26,세종특별자치시 장군면 도계리,8m미만,25,월세,100,30,2014
201703,29,세종특별자치시 장군면 도계리,12m미만,25,월세,100,27,2013
201705,31,세종특별자치시 장군면 도계리,12m미만,25,월세,"2,200",7,2013
201712,23,세종특별자치시 장군면 도계리,8m미만,25,전세,"3,500",0,2012
201704,1,세종특별자치시 장군면 도계리,12m미만,28,월세,"2,000",10,2013
201702,14,세종특별자치시 장군면 도계리,12m미만,28,월세,100,20,2013
201704,19,세종특별자치시 장군면 도계리,12m미만,30,월세,100,30,2013
201712,12,세종특별자치시 장군면 도계리,8m미만,30,전세,"3,500",0,2012
201706,9,세종특별자치시 장군면 도계리,8m미만,35,전세,"5,000",0,2014
201712,18,세종특별자치시 장군면 도계리,8m미만,35,전세,"6,500",0,2015
201701,31,세종특별자치시 장군면 도계리,8m미만,42,전세,"4,500",0,2015
201711,1,세종특별자치시 장군면 도계리,8m미만,50,전세,"4,500",0,2015
201703,9,세종특별자치시 장군면 도계리,-,50,전세,"6,000",0,2012
201705,22,세종특별자치시 장군면 도계리,8m미만,60,월세,"2,000",15,1978
201712,1,세종특별자치시 장군면 도계리,8m미만,60,전세,"8,000",0,2013
201702,4,세종특별자치시 장군면 도계리,8m미만,60,전세,"7,000",0,2015
201712,1,세종특별자치시 장군면 도계리,8m미만,66,월세,"1,500",10,1960
201711,11,세종특별자치시 장군면 도계리,8m미만,70,전세,"7,000",0,2013
201711,14,세종특별자치시 장군면 도계리,-,73.71,전세,"5,000",0,
201708,23,세종특별자치시 장군면 봉안리,8m미만,19,월세,500,30,2017
201703,3,세종특별자치시 장군면 봉안리,-,19.31,전세,"4,000",0,2014
201702,17,세종특별자치시 장군면 봉안리,8m미만,19.83,전세,"3,000",0,2014
201708,4,세종특별자치시 장군면 봉안리,8m미만,20,월세,50,30,2013
201708,29,세종특별자치시 장군면 봉안리,8m미만,20,월세,"1,000",25,2017
201710,30,세종특별자치시 장군면 봉안리,8m미만,20,월세,"1,000",24,2014
201708,2,세종특별자치시 장군면 봉안리,8m미만,20,전세,"4,000",0,2014
201702,4,세종특별자치시 장군면 봉안리,8m미만,20,전세,"3,300",0,2013
201707,8,세종특별자치시 장군면 봉안리,8m미만,20,전세,"3,000",0,2013
201712,11,세종특별자치시 장군면 봉안리,8m미만,20,전세,"4,000",0,2015
201708,19,세종특별자치시 장군면 봉안리,12m미만,20,전세,"4,000",0,2012
201708,21,세종특별자치시 장군면 봉안리,8m미만,20,전세,"3,500",0,2017
201708,21,세종특별자치시 장군면 봉안리,8m미만,20,전세,"4,000",0,2014
201709,21,세종특별자치시 장군면 봉안리,8m미만,20,전세,"4,000",0,2015
