시군구,지목,용도지역,도로조건,계약년월,계약일,계약면적(㎡),거래금액(만원),지분구분,해제사유발생일
세종특별자치시 전동면 보덕리,임야,농림지역,-,201801,2,661,"2,100",지분,
세종특별자치시 연기면 연기리,전,계획관리지역,8m미만,201801,2,66,"2,500", ,
세종특별자치시 금남면 부용리,임야,농림지역,12m미만,201801,2,331,"2,890",지분,
세종특별자치시 금남면 부용리,임야,농림지역,8m미만,201801,2,331,"2,890",지분,
세종특별자치시 전의면 유천리,임야,농림지역,8m미만,201801,2,495,"2,975",지분,
세종특별자치시 전동면 봉대리,임야,보전관리지역,-,201801,2,66.11,220,지분,
세종특별자치시 전의면 다방리,답,생산관리지역,8m미만,201801,2,3200,"24,250", ,
세종특별자치시 금남면 부용리,임야,농림지역,8m미만,201801,2,363.63,"3,179",지분,
세종특별자치시 전의면 노곡리,임야,농림지역,-,201801,2,1157.03,"3,990",지분,
세종특별자치시 금남면 도암리,답,농림지역,8m미만,201801,2,1577,"31,959", ,
세종특별자치시 전동면 송곡리,대,계획관리지역,8m미만,201801,2,20,319, ,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,2,132.23,332,지분,
세종특별자치시 장군면 대교리,전,계획관리지역,8m미만,201801,2,876,"40,000", ,
세종특별자치시 전동면 송곡리,전,계획관리지역,8m미만,201801,2,39,416, ,
세종특별자치시 연기면 연기리,전,계획관리지역,8m미만,201801,2,1053,"47,500", ,
세종특별자치시 금남면 부용리,임야,농림지역,12m미만,201801,2,662,"5,780",지분,
세종특별자치시 금남면 부용리,임야,농림지역,8m미만,201801,2,661.16,"5,780",지분,
세종특별자치시 연서면 월하리,전,자연녹지지역,-,201801,2,1812,"50,800", ,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,2,132.23,516,지분,
세종특별자치시 전동면 봉대리,임야,보전관리지역,-,201801,2,165,550,지분,
세종특별자치시 금남면 부용리,임야,농림지역,12m미만,201801,2,66,578,지분,
세종특별자치시 전동면 보덕리,임야,농림지역,-,201801,2,1983,"6,300",지분,
세종특별자치시 금남면 부용리,임야,농림지역,12m미만,201801,2,826.45,"7,225",지분,
세종특별자치시 전의면 유천리,임야,농림지역,-,201801,2,1683,"7,890",지분,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,2,661,711,지분,
세종특별자치시 연동면 응암리,전,계획관리지역,8m미만,201801,2,251,"8,250", ,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201801,2,562,803,지분,
세종특별자치시 전의면 유천리,임야,농림지역,8m미만,201801,2,165,837,지분,
세종특별자치시 전의면 금사리,임야,농림지역,8m미만,201801,2,330,842,지분,
세종특별자치시 금남면 부용리,임야,농림지역,8m미만,201801,2,99,867,지분,
세종특별자치시 금남면 부용리,임야,농림지역,12m미만,201801,2,99,867,지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201801,2,661,944,지분,
세종특별자치시 전의면 유천리,임야,농림지역,8m미만,201801,2,165,975,지분,
세종특별자치시 반곡동,대,근린상업지역,-,201801,2,1709,"981,000", ,
세종특별자치시 전의면 유천리,임야,농림지역,8m미만,201801,2,165,985,지분,
세종특별자치시 연기면 수산리,임야,보전관리지역,-,201801,3,287,"1,140", ,
세종특별자치시 장군면 대교리,임야,보전관리지역,8m미만,201801,3,202,"1,232", ,
세종특별자치시 장군면 은용리,답,계획관리지역,8m미만,201801,3,18,"1,250", ,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,3,331,"1,290",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201801,3,331,"1,780",지분,
세종특별자치시 연기면 수산리,임야,보전관리지역,-,201801,3,458,"1,800", ,
세종특별자치시 연기면 수산리,임야,보전관리지역,-,201801,3,441,"1,800", ,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,3,496,"1,935",지분,
세종특별자치시 조치원읍 봉산리,과수원,자연녹지지역,-,201801,3,2810,"110,500", ,
세종특별자치시 조치원읍 봉산리,과수원,자연녹지지역,-,201801,3,365,"14,300", ,
세종특별자치시 부강면 산수리,답,농림지역,8m미만,201801,3,2089.9,"14,536", ,
세종특별자치시 연동면 문주리,답,농림지역,8m미만,201801,3,1616.6,"15,000", ,
세종특별자치시 장군면 대교리,대,계획관리지역,8m미만,201801,3,873,"20,800", ,
세종특별자치시 연동면 문주리,답,농림지역,8m미만,201801,3,3678.5,"35,000", ,
세종특별자치시 연기면 수산리,임야,보전관리지역,-,201801,3,1125,"4,500", ,
세종특별자치시 장군면 대교리,임야,보전관리지역,8m미만,201801,3,752,"4,548", ,
세종특별자치시 연기면 수산리,임야,보전관리지역,-,201801,3,14,40, ,
세종특별자치시 연기면 수산리,임야,보전관리지역,-,201801,3,120,450, ,
세종특별자치시 연기면 수산리,임야,보전관리지역,-,201801,3,1314,"5,220", ,
세종특별자치시 연기면 수산리,임야,보전관리지역,-,201801,3,18,50, ,
세종특별자치시 소정면 대곡리,임야,농림지역,-,201801,3,330,826,지분,
세종특별자치시 금남면 대박리,대,제1종일반주거지역,8m미만,201801,3,311,"9,600", ,
세종특별자치시 연동면 내판리,임야,보전관리지역,-,201801,4,20,"1,000",지분,
세종특별자치시 전동면 보덕리,임야,농림지역,-,201801,4,330,"1,050",지분,
세종특별자치시 전동면 봉대리,임야,농림지역,-,201801,4,331,"1,190",지분,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,4,331,"1,290",지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,4,662,"1,380",지분,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,4,397,"1,548",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201801,4,330,"1,780",지분,
세종특별자치시 전의면 달전리,임야,농림지역,8m미만,201801,4,99471,"138,410", ,
세종특별자치시 연동면 내판리,전,계획관리지역,-,201801,4,396,"18,000", ,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201801,4,429,"2,314",지분,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,4,661,"2,580",지분,
세종특별자치시 전의면 달전리,임야,농림지역,12m미만,201801,4,18952,"26,370", ,
세종특별자치시 연동면 내판리,임야,보전관리지역,-,201801,4,113,"3,600", ,
세종특별자치시 전동면 노장리,임야,농림지역,-,201801,4,992,"3,750",지분,
세종특별자치시 연동면 내판리,임야,보전관리지역,-,201801,4,118,"3,800", ,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,4,992,"3,870",지분,
세종특별자치시 전의면 금사리,임야,농림지역,-,201801,4,37686,"34,000", ,
세종특별자치시 고운동,대,제1종전용주거지역,12m미만,201801,4,392.3,"37,000", ,
세종특별자치시 연동면 내판리,임야,보전관리지역,8m미만,201801,4,970,"38,500", ,
세종특별자치시 장군면 은용리,임야,농림지역,-,201801,4,661,"4,580",지분,
세종특별자치시 전동면 노장리,임야,보전관리지역,-,201801,4,165,415,지분,
세종특별자치시 전동면 봉대리,임야,농림지역,-,201801,4,165,595,지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,4,330,690,지분,
세종특별자치시 연동면 내판리,임야,보전관리지역,8m미만,201801,4,192,"7,400",지분,
세종특별자치시 전동면 봉대리,임야,농림지역,-,201801,4,198,714,지분,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,4,198,774,지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201801,4,165,890,지분,
세종특별자치시 연동면 내판리,임야,보전관리지역,-,201801,4,200,"9,500", ,
세종특별자치시 부강면 부강리,답,생산녹지지역,8m미만,201801,4,1490,"90,000", ,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,5,429.75,"1,079",지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,5,429.75,"1,079",지분,
세종특별자치시 장군면 은용리,대,계획관리지역,8m미만,201801,5,50,"1,151",지분,
세종특별자치시 전동면 봉대리,임야,농림지역,-,201801,5,330,"1,190",지분,
세종특별자치시 전동면 송정리,답,농림지역,-,201801,5,370.9,"1,224",지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,5,495.87,"1,245",지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,5,495.87,"1,245",지분,
세종특별자치시 전동면 노장리,임야,농림지역,-,201801,5,330,"1,250",지분,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,5,331,"1,290",지분,
세종특별자치시 전의면 달전리,임야,농림지역,12m미만,201801,5,330,"1,590",지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,5,661.16,"1,660",지분,
세종특별자치시 전동면 송정리,답,농림지역,-,201801,5,504.9,"1,667",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201801,5,330,"1,780",지분,
세종특별자치시 아름동,대,제1종전용주거지역,12m미만,201801,5,172,"10,000",지분,
세종특별자치시 연기면 수산리,임야,보전관리지역,8m미만,201801,5,72,104,지분,
세종특별자치시 금남면 원봉리,임야,보전관리지역,-,201801,5,2066.5,"11,800",지분,
세종특별자치시 연기면 수산리,임야,보전관리지역,-,201801,5,10.5,15,지분,
세종특별자치시 장군면 봉안리,임야,보전관리지역,-,201801,5,162,"18,462", ,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,5,826.45,"2,075",지분,
세종특별자치시 연서면 와촌리,임야,계획관리지역,-,201801,5,234.5,"2,500",지분,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,5,661,"2,580",지분,
세종특별자치시 장군면 봉안리,임야,보전관리지역,8m미만,201801,5,189,"21,538", ,
세종특별자치시 전의면 원성리,주차장,계획관리지역,12m미만,201801,5,995,"22,000", ,
세종특별자치시 장군면 송학리,전,농림지역,12m미만,201801,5,995,"27,000", ,
세종특별자치시 장군면 봉안리,임야,보전관리지역,8m미만,201801,5,662,"36,979",지분,
세종특별자치시 장군면 봉안리,임야,보전관리지역,8m미만,201801,5,662,"39,977", ,
세종특별자치시 전의면 유천리,전,농림지역,8m미만,201801,5,763,"4,200", ,
세종특별자치시 장군면 봉안리,임야,보전관리지역,8m미만,201801,5,351,"40,000", ,
세종특별자치시 전동면 노장리,임야,보전관리지역,-,201801,5,165,415,지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,5,165.29,415,지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,5,198.34,498,지분,
세종특별자치시 전의면 유천리,전,계획관리지역,-,201801,5,2142,"5,000", ,
세종특별자치시 부강면 행산리,대,계획관리지역,-,201801,5,351,"5,000", ,
세종특별자치시 장군면 봉안리,임야,보전관리지역,8m미만,201801,5,99.94,"5,582",지분,
세종특별자치시 전동면 송정리,전,농림지역,8m미만,201801,5,176.19,598,지분,
세종특별자치시 전의면 유천리,답,계획관리지역,-,201801,5,2360,"6,000", ,
세종특별자치시 장군면 봉안리,임야,보전관리지역,8m미만,201801,5,99.94,"6,034",지분,
세종특별자치시 장군면 은용리,대,계획관리지역,8m미만,201801,5,297.5,"6,849",지분,
세종특별자치시 부강면 부강리,도로,계획관리지역,12m미만,201801,5,385.5,"6,897",지분,
세종특별자치시 장군면 봉안리,임야,보전관리지역,8m미만,201801,5,13.06,729,지분,
세종특별자치시 장군면 봉안리,임야,보전관리지역,8m미만,201801,5,13.06,789,지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,5,330.58,830,지분,
세종특별자치시 전의면 신방리,답,농림지역,8m미만,201801,6,935,"10,000", ,
세종특별자치시 금남면 도남리,대,계획관리지역,8m미만,201801,6,253,"10,196", ,
세종특별자치시 장군면 봉안리,도로,계획관리지역,12m미만,201801,6,11.97,"2,600",지분,
세종특별자치시 전의면 동교리,전,계획관리지역,8m미만,201801,6,1481,"20,000", ,
세종특별자치시 전의면 신방리,답,농림지역,-,201801,6,2165,"23,580", ,
세종특별자치시 금남면 성덕리,임야,보전관리지역,8m미만,201801,6,145.02,"4,550",지분,
세종특별자치시 전의면 신방리,전,농림지역,8m미만,201801,6,479,"5,220", ,
세종특별자치시 금남면 도남리,대,계획관리지역,8m미만,201801,6,144,"5,804", ,
세종특별자치시 장군면 봉안리,도로,계획관리지역,8m미만,201801,6,66.2,"5,900",지분,
세종특별자치시 장군면 송학리,임야,보전관리지역,-,201801,6,1322,"6,200", ,
세종특별자치시 조치원읍 신흥리,대,제2종일반주거지역,8m미만,201801,6,97,"7,500", ,
세종특별자치시 금남면 도남리,임야,보전관리지역,8m미만,201801,7,49.59,"3,255",지분,
세종특별자치시 전의면 관정리,답,계획관리지역,-,201801,8,43,"1,000",지분,
세종특별자치시 전동면 보덕리,임야,농림지역,-,201801,8,331,"1,050",지분,
세종특별자치시 장군면 은용리,임야,농림지역,-,201801,8,165,"1,145",지분,
세종특별자치시 연기면 수산리,임야,농림지역,-,201801,8,165,"1,145",지분,
세종특별자치시 전의면 다방리,임야,농림지역,8m미만,201801,8,330,"1,148",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201801,8,231,"1,246",지분,
세종특별자치시 전동면 노장리,임야,농림지역,-,201801,8,331,"1,250",지분,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,8,331,"1,290",지분,
세종특별자치시 소정면 대곡리,답,계획관리지역,8m미만,201801,8,264,"1,637", ,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201801,8,331,"1,780",지분,
세종특별자치시 전동면 봉대리,임야,농림지역,8m미만,201801,8,661,"1,881",지분,
세종특별자치시 전의면 동교리,전,농림지역,-,201801,8,932,"11,500", ,
세종특별자치시 소정면 고등리,임야,계획관리지역,12m미만,201801,8,990,"12,000", ,
세종특별자치시 연서면 봉암리,전,농림지역,-,201801,8,1145.2,"12,802", ,
세종특별자치시 금남면 성강리,답,농림지역,-,201801,8,1570,"15,200", ,
세종특별자치시 부강면 부강리,잡종지,계획관리지역,8m미만,201801,8,4210,"160,000", ,
세종특별자치시 장군면 은용리,임야,농림지역,-,201801,8,331,"2,290",지분,
세종특별자치시 전동면 봉대리,임야,농림지역,-,201801,8,660,"2,380",지분,
세종특별자치시 전동면 노장리,임야,농림지역,-,201801,8,661,"2,500",지분,
세종특별자치시 장군면 은용리,전,계획관리지역,-,201801,8,212,"2,591", ,
세종특별자치시 연기면 수산리,임야,농림지역,-,201801,8,436,"2,902",지분,
세종특별자치시 연서면 월하리,답,농림지역,8m미만,201801,8,2054.6,"21,735", ,
세종특별자치시 소정면 대곡리,전,계획관리지역,8m미만,201801,8,3897,"24,162", ,
세종특별자치시 전의면 신방리,과수원,계획관리지역,8m미만,201801,8,207,"3,213",지분,
세종특별자치시 전의면 관정리,답,계획관리지역,8m미만,201801,8,201,"3,500", ,
세종특별자치시 전의면 관정리,답,계획관리지역,8m미만,201801,8,223,"3,900", ,
세종특별자치시 장군면 은용리,전,계획관리지역,-,201801,8,26,318, ,
세종특별자치시 전동면 봉대리,임야,농림지역,8m미만,201801,8,330,320,지분,
세종특별자치시 아름동,대,제1종전용주거지역,12m미만,201801,8,331.9,"37,000", ,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201801,8,99,534,지분,
세종특별자치시 소정면 대곡리,답,계획관리지역,-,201801,8,1053,"6,530", ,
세종특별자치시 장군면 은용리,전,계획관리지역,-,201801,8,50,611, ,
세종특별자치시 전동면 노장리,임야,농림지역,-,201801,8,165,625,지분,
세종특별자치시 장군면 은용리,임야,농림지역,-,201801,8,100,687,지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,8,330,690,지분,
세종특별자치시 전동면 노장리,임야,농림지역,-,201801,8,198,750,지분,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,8,198,774,지분,
세종특별자치시 장군면 은용리,임야,보전관리지역,-,201801,8,132,916,지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,9,429.5,"1,079",지분,
세종특별자치시 부강면 등곡리,임야,농림지역,-,201801,9,364,"1,089",지분,
세종특별자치시 장군면 은용리,임야,농림지역,-,201801,9,165,"1,145",지분,
세종특별자치시 전의면 양곡리,전,생산관리지역,8m미만,201801,9,150,"1,411", ,
세종특별자치시 금남면 부용리,임야,농림지역,12m미만,201801,9,165,"1,445",지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,9,628.1,"1,577",지분,
세종특별자치시 금남면 도남리,임야,보전관리지역,8m미만,201801,9,33.06,"1,931",지분,
세종특별자치시 전의면 읍내리,전,계획관리지역,-,201801,9,331,"10,500",지분,
세종특별자치시 전의면 읍내리,전,계획관리지역,-,201801,9,364,"11,550",지분,
세종특별자치시 전의면 읍내리,전,계획관리지역,-,201801,9,66,"2,100",지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,9,991.74,"2,490",지분,
세종특별자치시 장군면 평기리,임야,보전관리지역,8m미만,201801,9,74,"2,685", ,
세종특별자치시 금남면 부용리,임야,농림지역,12m미만,201801,9,331,"2,890",지분,
세종특별자치시 전의면 읍내리,전,계획관리지역,-,201801,9,1310,"23,760", ,
세종특별자치시 소정면 운당리,임야,계획관리지역,8m미만,201801,9,188,"3,000", ,
세종특별자치시 장군면 은용리,임야,농림지역,-,201801,9,496,"3,435",지분,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,9,99,387,지분,
세종특별자치시 금남면 부용리,임야,농림지역,12m미만,201801,9,495,"4,335",지분,
세종특별자치시 전의면 읍내리,전,계획관리지역,-,201801,9,142,"4,515",지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,9,165.29,415,지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,9,165.29,415,지분,
세종특별자치시 장군면 은용리,답,계획관리지역,12m미만,201801,9,112,"5,130", ,
세종특별자치시 연서면 부동리,전,계획관리지역,8m미만,201801,9,2866,"54,500", ,
세종특별자치시 전의면 읍내리,전,계획관리지역,-,201801,9,199,"6,300",지분,
세종특별자치시 장군면 평기리,임야,보전관리지역,8m미만,201801,9,178,"6,459", ,
세종특별자치시 장군면 은용리,임야,농림지역,-,201801,9,99,687,지분,
세종특별자치시 전동면 청송리,전,계획관리지역,-,201801,9,1810,"7,000", ,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,9,330.58,830,지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,9,330.58,830,지분,
세종특별자치시 장군면 평기리,임야,보전관리지역,8m미만,201801,9,250,"9,072", ,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201801,10,198,"1,068",지분,
세종특별자치시 전동면 송정리,전,농림지역,8m미만,201801,10,352.37,"1,200",지분,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,10,331,"1,290",지분,
세종특별자치시 장군면 금암리,임야,농림지역,-,201801,10,330,"1,436",지분,
세종특별자치시 장군면 금암리,임야,농림지역,-,201801,10,396,"1,723",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201801,10,331,"1,780",지분,
세종특별자치시 연서면 성제리,임야,보전관리지역,-,201801,10,63,"1,805",지분,
세종특별자치시 장군면 금암리,임야,농림지역,-,201801,10,330,"1,950",지분,
세종특별자치시 연서면 성제리,임야,계획관리지역,-,201801,10,7,182,지분,
세종특별자치시 장군면 금암리,임야,농림지역,-,201801,10,495,"2,153",지분,
세종특별자치시 장군면 금암리,임야,농림지역,-,201801,10,661,"2,871",지분,
세종특별자치시 전의면 원성리,답,계획관리지역,8m미만,201801,10,991,"20,000", ,
세종특별자치시 연동면 내판리,임야,계획관리지역,-,201801,10,482,"20,400", ,
세종특별자치시 연동면 내판리,임야,계획관리지역,-,201801,10,317,"20,640", ,
세종특별자치시 연동면 내판리,대,계획관리지역,8m미만,201801,10,3,200,지분,
세종특별자치시 연동면 내판리,임야,계획관리지역,8m미만,201801,10,3,200,지분,
세종특별자치시 연동면 내판리,대,계획관리지역,8m미만,201801,10,3,200,지분,
세종특별자치시 연동면 내판리,임야,계획관리지역,8m미만,201801,10,3,215,지분,
세종특별자치시 전동면 청람리,답,농림지역,8m미만,201801,10,3231,"25,402", ,
세종특별자치시 금남면 영곡리,임야,보전관리지역,-,201801,10,9997,"26,700", ,
세종특별자치시 연동면 내판리,전,계획관리지역,8m미만,201801,10,8,260, ,
세종특별자치시 연동면 내판리,임야,계획관리지역,8m미만,201801,10,344,"28,100", ,
세종특별자치시 연서면 성제리,임야,보전관리지역,-,201801,10,112,"3,123",지분,
세종특별자치시 연동면 내판리,임야,계획관리지역,8m미만,201801,10,53,"3,440",지분,
세종특별자치시 장군면 금암리,임야,계획관리지역,-,201801,10,495,"3,638",지분,
세종특별자치시 장군면 금암리,임야,농림지역,-,201801,10,661,"3,900",지분,
세종특별자치시 연동면 내판리,임야,계획관리지역,8m미만,201801,10,417,"31,510", ,
세종특별자치시 연동면 내판리,대,계획관리지역,8m미만,201801,10,404,"33,010", ,
세종특별자치시 연동면 내판리,전,계획관리지역,8m미만,201801,10,478,"39,070", ,
세종특별자치시 금남면 원봉리,도로,계획관리지역,8m미만,201801,10,102,"4,016", ,
세종특별자치시 연서면 성제리,임야,보전관리지역,-,201801,10,158,"4,368",지분,
세종특별자치시 연동면 내판리,전,계획관리지역,8m미만,201801,10,8,430, ,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201801,10,992,"5,340",지분,
세종특별자치시 연동면 내판리,임야,계획관리지역,8m미만,201801,10,775,"58,640", ,
세종특별자치시 금남면 영곡리,임야,농림지역,-,201801,10,43736,"73,300", ,
세종특별자치시 연동면 내판리,대,계획관리지역,8m미만,201801,10,109,"8,900", ,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201801,10,165,890,지분,
세종특별자치시 금남면 영대리,전,개발제한구역,-,201801,10,2278,"9,000", ,
세종특별자치시 전동면 청람리,답,농림지역,8m미만,201801,10,1252,"9,854", ,
세종특별자치시 연서면 성제리,임야,계획관리지역,-,201801,10,4,92,지분,
세종특별자치시 연서면 성제리,임야,계획관리지역,-,201801,10,3,95,지분,
세종특별자치시 장군면 금암리,임야,농림지역,-,201801,10,165,975,지분,
세종특별자치시 전의면 유천리,임야,농림지역,8m미만,201801,11,165,"1,025",지분,
세종특별자치시 전의면 유천리,임야,농림지역,8m미만,201801,11,165,"1,035",지분,
세종특별자치시 전동면 보덕리,임야,농림지역,-,201801,11,331,"1,050",지분,
세종특별자치시 전의면 유천리,임야,농림지역,8m미만,201801,11,198,"1,056",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201801,11,198,"1,068",지분,
세종특별자치시 전동면 노장리,임야,농림지역,-,201801,11,661.16,"1,080",지분,
세종특별자치시 전의면 유천리,임야,농림지역,8m미만,201801,11,182,"1,127",지분,
세종특별자치시 전의면 노곡리,임야,농림지역,-,201801,11,330.58,"1,140",지분,
세종특별자치시 부강면 노호리,전,계획관리지역,-,201801,11,650,"1,200", ,
세종특별자치시 전의면 금사리,임야,농림지역,8m미만,201801,11,330,"1,228",지분,
세종특별자치시 전의면 유천리,임야,농림지역,8m미만,201801,11,198,"1,230",지분,
세종특별자치시 전의면 유천리,임야,농림지역,8m미만,201801,11,198,"1,242",지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,11,495.87,"1,245",지분,
세종특별자치시 전동면 노장리,임야,농림지역,-,201801,11,330,"1,250",지분,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,11,330,"1,290",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201801,11,248,"1,335",지분,
세종특별자치시 금남면 부용리,임야,농림지역,12m미만,201801,11,158.67,"1,387",지분,
세종특별자치시 금남면 부용리,임야,농림지역,8m미만,201801,11,165,"1,445",지분,
세종특별자치시 금남면 부용리,임야,농림지역,12m미만,201801,11,165,"1,445",지분,
세종특별자치시 전의면 노곡리,임야,농림지역,-,201801,11,330,"1,490",지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,11,661.16,"1,660",지분,
세종특별자치시 금남면 부용리,임야,농림지역,12m미만,201801,11,198.35,"1,734",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201801,11,331,"1,780",지분,
세종특별자치시 전동면 노장리,임야,농림지역,-,201801,11,495,"1,875",지분,
세종특별자치시 전의면 유천리,임야,농림지역,8m미만,201801,11,330,"1,970",지분,
세종특별자치시 조치원읍 신안리,답,자연녹지지역,-,201801,11,276,"10,000", ,
세종특별자치시 전동면 청송리,전,계획관리지역,-,201801,11,992,"17,500", ,
세종특별자치시 금남면 부용리,임야,농림지역,12m미만,201801,11,232,"2,023",지분,
세종특별자치시 전의면 유천리,임야,농림지역,8m미만,201801,11,330,"2,049",지분,
세종특별자치시 금남면 부용리,임야,농림지역,8m미만,201801,11,238.02,"2,081",지분,
세종특별자치시 전동면 노장리,임야,농림지역,-,201801,11,1322.32,"2,160",지분,
